psnr_mean,psnr_median,psnr_gaussian,psnr_unsharp,psnr_wiener,psnr_chmean,psnr_amsharp,psnr_laplacian,psnr_log,psnr_admed,psnr_midpoint,psnr_gabor
34.593572685059456,33.49600647072259,34.57181472799577,36.93111396432772,27.976259641448202,,29.347236767279096,27.997809210977145,27.871555803528008,34.172184466857686,9.305011834121348,
32.22217210207373,31.45576059190536,32.37667262897433,36.39178512649521,28.430869683367312,,28.181963405679966,27.977513482829988,28.394007883672767,31.534249902219496,10.967022405688585,
33.35432300037492,32.26779614228477,33.475020474491984,37.011128868963404,28.385367978443025,,28.278800155071202,28.14341947673516,28.503340461653323,33.4091787424415,9.854498044339572,
34.0881483406382,32.766210234980655,34.16966203665562,36.987183621646885,28.125366183792792,,28.83400417376337,28.165783885448917,28.209649051122856,33.900646106537465,8.687670839447481,
32.505637555565706,31.64975172032213,32.58076137313181,35.58629743556919,27.945804943109778,,28.368406700557856,27.814121417984104,27.775721463810715,31.521500375897197,10.0800693960745,
37.198563135539004,34.592325566159595,37.03504553258718,38.841658851587184,28.066500765615334,,29.167605765713255,28.068074856867455,28.136647744825908,38.65028497246858,8.068493301177734,
34.476309007671624,32.758084019834605,34.48066184510361,37.08836224057495,28.272650095252814,,28.455417489246596,27.97391922499513,28.141488553414735,35.743907469040025,10.24489481869593,
32.219673865011835,30.978756016834698,32.20608508553638,35.09958358569502,27.99616850629295,,28.209250924674066,27.943292373557213,27.94421910190636,29.923584525234062,8.558125461394685,
30.996632102111846,30.283701577775368,31.05262248353751,34.38063073979766,28.26278340185244,,28.070912971243533,27.982741045832263,28.44896077621906,29.134114835692806,8.027714502021738,
35.36693152673851,33.555749622411696,35.38138624220884,38.17015016162711,29.269418599309684,,28.757045373806402,28.50916034892411,29.22956003680996,36.28108702173064,9.3945480765027,
33.981496644473125,32.706097237746015,34.0793195881988,37.49387756467663,28.016814308109602,,28.642307627419438,27.894767909771105,27.90297936507908,34.09862622467707,10.4608506341732,
32.971825697180535,31.871680695487452,33.08794936476612,36.37712910272376,28.304545543108475,,28.350575129955452,28.289570930051184,28.67259330530869,32.35395549935755,8.960660299949634,
35.916833968503234,34.04372612009467,35.84349095969869,37.99921008358772,28.4106811211143,,29.095295582816235,28.417383623677402,28.823031168588898,37.35670977628943,10.930780686084503,
33.56840301698698,32.34258133371338,33.67039672746169,37.23853976736408,28.69711415209546,,28.350405510893452,28.27091636960216,28.880868349909086,34.124939971551186,9.585974668095476,
33.58719178293897,32.2733829832267,33.60536943822734,36.54844011197732,28.674423718708752,,28.59640092075463,27.968234978459705,28.354258193840224,33.79113695559575,11.921562464437903,
34.22901781458701,32.697915704652246,34.312100677597485,37.45602615279917,28.110629496728272,,28.477498379133642,27.828003502664824,27.980974991418265,35.20004016670199,15.571703224830202,
32.35582331642195,31.509302675421583,32.464028473499425,36.14669738059214,28.09479851236613,28.84120934977195,28.19289903234683,28.07105240919959,28.23333565508932,31.34522834022798,9.253829425618171,
29.70592337664398,29.43020632219969,29.825795560329162,33.567227310450896,28.17701009623951,25.060108158891623,27.875103996804068,27.84352016712367,27.998291901767036,27.21793739269675,10.097487543601567,
30.42249615435029,30.041834901279714,30.549755256966137,34.035040455746355,28.32940819901287,24.957204327166686,27.98346974721315,27.9935316120881,28.487166713152824,27.35536367923707,9.611398211070853,
35.30425565724738,33.834927722516966,35.38145426787198,38.246282171360924,28.04720878215859,,29.01853779175452,27.75672527823984,27.800064330725263,35.98765524849024,15.100499524809647,
33.948842681091044,32.793453635214306,33.9569721996824,36.87765550117976,29.64283882392121,,28.728791589013987,28.371686720408583,29.343977986134746,32.599168460188984,9.704448090569036,
33.01222216474714,32.202145104747935,33.169238387154316,37.06662948474936,28.08597283713279,30.168925664719563,28.41586288220669,27.999543548419954,28.084983233998333,32.445805327800336,10.277558292369699,
34.34452218592195,33.00608937664874,34.413770721110474,37.39780474553059,28.052036548270188,31.763419593040343,28.58296876469077,27.853336995193906,27.985455561215097,34.520953622637556,9.689553829882344,
36.10600846382118,34.59564320405306,36.11788444655299,38.637040548059744,28.86913832467007,33.79787133869048,29.743890936642305,29.244949439771574,29.449649005599472,36.60689453077227,8.995687971130623,
32.02361968066149,31.410128181114185,32.21229574901363,36.52210492666654,27.973660582165984,29.431908400507552,28.106521193207193,27.896992157576648,27.80655517392248,31.523283057966612,12.894270245805108,
