psnr_mean,psnr_median,psnr_gaussian,psnr_unsharp,psnr_wiener,psnr_chmean,psnr_amsharp,psnr_laplacian,psnr_log,psnr_admed,psnr_midpoint,psnr_gabor
30.941104611116362,30.54510688172715,31.018765259805203,34.506496918227974,28.286028372767436,24.627980138480147,28.165564996554863,27.99982645639908,28.269655871325668,27.964613946821967,8.53156530376253,
30.77625561297499,30.41352547393923,30.898402994193717,34.303776049254765,27.947338424169814,24.905419163031194,28.140385047976824,27.993346060042676,28.132802713973334,27.784291301592408,7.35696736747178,
30.72493341589704,30.356560166241792,30.837815226395517,34.294760451839906,27.80919271151278,,28.077544059930794,27.928429564900238,27.94449588926966,28.188782492419282,7.154584292301598,
29.967998413871307,29.762935103816414,30.12012916145132,33.99012174957955,27.987738510916227,,27.967677110965603,27.98274809099715,28.259955032800423,27.78372720189634,7.326671146613631,
31.070094754622872,30.58686464353595,31.18176946427603,34.65082123142927,28.05887675491601,25.695608911625474,28.112684226890046,27.954283020066843,28.098916786895657,28.5471944098453,7.798431647766685,
34.07454341999257,32.7370856963567,34.12291793224135,36.42241481955872,27.94480655542499,,28.56084178149085,28.020423368076646,28.000347955536423,35.352708847981475,8.341949763452108,
31.232206652296817,30.744211657048226,31.35209149464163,35.02670316754243,28.379048177732127,26.583396996485767,28.07751874866323,27.95022414053212,28.444364748358026,29.202666655042137,9.277524221910499,
30.147724358629745,29.91747463030609,30.2564851337338,33.6436467077328,28.050525722630187,,28.12758351143696,27.992182848622676,28.05803862613044,26.912703829010987,8.133720943743882,
30.253719797333233,29.97988045787837,30.3802445230657,33.87862680800341,28.128902572732425,24.138222785343277,27.99614088093304,27.94100305981463,28.03065592957346,27.165992345120515,8.828000870212911,
30.35939990682303,30.10184830709873,30.44427117195497,33.75533583916188,27.856395429500026,24.127573769834967,28.267853351304062,27.924663971950924,28.012069578121015,26.904681553164977,8.472722170076288,
30.56184550133112,30.161375034720482,30.648956078327107,33.639346614601614,27.932279246901377,24.303059865199575,28.06580587409008,27.959594163588903,28.045292432483837,26.935285112545326,8.637511802931419,
32.15042244766206,31.566955014092436,32.27625885275088,35.712186792058745,28.14636424797184,28.0666891865829,28.448862138730156,28.037581427626282,28.1295268105023,30.50699407283194,11.00469767515775,
30.844929486606496,30.559112552516567,30.914158282528025,34.12987038714617,28.03800671895912,24.516617102413996,28.23677028400831,28.029927469569756,28.142033324396216,27.504600518574627,7.834630698835281,
30.628861330335575,30.32176351778382,30.743902814406777,34.36665336009262,27.680230530481758,24.78932594668695,28.099339136259008,28.02615438400941,27.870305550153844,27.57489778509929,7.452726874465342,
