mse_gaussian_otsu,mse_gaussian_kmeans
16877.253443400066,17097.597880045574
8420.198399861654,9083.401748657227
18579.299357096355,7339.195648193359
13008.138961791992,1838.442606608073
11916.59447224935,11451.365392049154
12046.845413208008,1118.4488983154297
12659.575754801432,3150.1609497070312
14271.283966064453,1263.0037740071614
11973.44780476888,11409.446899414062
13551.498153686523,2061.5513712565103
13124.424479166666,14340.033930460611
13352.572626749674,13280.906229654947
15562.195124308268,868.4138895670573
9507.167658487955,2748.5082397460938
9182.981180826822,10715.856002807617
10292.308380126953,2165.180821736654
14748.076873779297,15832.427688598633
11453.706837972006,2872.483627319336
11239.597493489584,10489.528813680014
7104.417566935222,533.8789723714193
13529.522094726562,1458.4811706542969
6793.940216064453,5323.6875
11499.59819539388,1925.8781026204426
6635.963734944661,4741.132181803386
11447.987040201822,1908.9558512369792
16634.411911010742,16931.031611124676
14205.705195109049,1486.4089101155598
9379.162679036459,8868.753000895182
14050.77066040039,2340.135915120443
8997.125188191732,10856.826690673828
10333.682790120443,1486.8006388346355
13111.14542134603,5406.364837646484
11732.39741007487,11089.946370442709
9277.509236653646,9256.11789449056
19968.896962483723,9065.749649047852
9509.194793701172,9301.493993123373
15076.53401184082,14742.958384195963
15818.474060058594,15634.944895426432
10198.958684285482,10054.159891764322
7739.86511739095,9295.745208740234
11758.171681722006,2767.4732513427734
13265.905746459961,11484.140757242838
11640.111592610678,5854.292098999023
10182.508753458658,2373.774083455404
10142.977630615234,1709.9857838948567
8689.487762451172,8421.2267964681
12718.179799397787,1601.7889760335286
19433.499791463215,14331.483957926432
15881.330830891928,3526.187311808268
15444.268229166666,12159.073303222656
10936.901423136393,5568.865575154622
14027.187143961588,12860.527165730795
14042.439798990885,1031.9871164957683
10833.087254842123,8632.797587076822
6692.444198608398,3872.9153798421225
12569.307622273764,12551.432495117188
12232.876439412436,12824.62971496582
15879.214207967123,5002.291168212891
9822.495076497396,3444.4293314615884
11658.76670328776,2899.8246103922525
11844.659510294596,1751.8793131510417
12567.880401611328,12736.91869099935
14352.133712768555,12491.89761352539
13354.125885009766,2157.2713928222656
10124.06600443522,9165.61712137858
7895.327606201172,3102.705235799154
9645.202128092447,4586.972259521484
8227.619888305664,8829.932662963867
14500.021133422852,1867.6970316569011
10412.165069580078,3227.358083089193
13540.11245727539,1588.444844563802
9643.775599161783,2737.3519694010415
10463.88910929362,2343.5666147867837
9411.280141194662,10345.394292195639
15388.48696899414,4559.972422281901
11809.644760131836,11209.134302775064
10468.253534952799,9686.500208536783
10710.876108805338,2787.297108968099
12989.727595011393,14280.593454996744
11989.258015950521,11840.661326090494
9995.362192789713,11140.57284037272
10853.460205078125,3209.042755126953
7655.335439046224,3504.8263092041016
