mse_gaussian_otsu,mse_gaussian_kmeans
16925.989023844402,16885.703521728516
18171.925201416016,18037.48469543457
18778.75373331706,18665.290430704754
19311.655131022137,176.9825642903646
15455.829360961914,1415.6355438232422
19545.51649983724,699.972178141276
15102.378580729166,917.7842508951823
16881.01693725586,1003.9031422932943
18141.113662719727,573.5879414876302
19062.309041341145,879.6194508870443
21148.756759643555,20882.320017496746
17423.5369720459,17237.93647257487
18438.89110819499,18376.711008707684
16002.023574829102,585.1451568603516
18760.94711303711,1190.6879323323567
15231.202667236328,15137.139333089193
15002.020299275717,1652.395055135091
17024.884195963543,16863.976857503254
18835.38959757487,18784.202275594074
17873.36331685384,1068.2175954182942
10836.115702311197,10630.643758138021
23843.809407552082,460.79071044921875
14875.198633829752,1237.3873138427734
16556.032216389973,851.3368835449219
20258.041269938152,592.5064341227213
19288.010452270508,19142.601313273113
21178.066340128582,951.9333343505859
17428.939651489258,17252.481658935547
14098.327178955078,16575.204223632812
15852.23545328776,15771.215311686197
19518.59385172526,554.5289408365885
14649.417744954428,14514.356104532877
18212.81473795573,18139.08269246419
17734.14301554362,17521.278645833332
17060.510798136394,903.1922302246094
18121.141535441082,18045.86686706543
17184.26237487793,864.1698455810547
20161.98114522298,19946.301462809246
17664.638626098633,1169.3713073730469
16548.605494181316,725.3596140543619
16399.176411946613,16327.54096476237
19079.61073811849,446.1918436686198
17110.355311075848,17613.064539591473
18471.95896911621,18700.457712809246
21330.6762491862,21261.08107503255
15735.083679199219,631.9027506510416
18663.69203186035,927.1663462320963
19223.796305338543,19165.78812154134
18833.666753133137,18771.115656534832
18814.91633605957,18982.558263142902
22253.405014038086,414.097900390625
21819.875645955402,21720.464192708332
14310.488494873047,3280.0272776285806
19949.57078552246,361.08606974283856
15193.423568725586,15159.93776957194
17210.604746500652,17122.30660502116
12291.837417602539,2783.1495259602866
9785.260126749674,856.5006510416666
16147.667266845703,16034.463104248047
15759.053166707357,15643.847966512045
16104.118998209635,203.92283630371094
17804.74462890625,17487.31039937337
19097.722890218098,701.0111541748047
14227.5295308431,391.85609436035156
18118.72755432129,18059.85885111491
18823.172932942707,18717.514856974285
20507.32817586263,489.9542643229167
16823.836837768555,16651.52811686198
14450.65522257487,14383.633377075195
19706.490915934246,19409.07338968913
21564.08339436849,21505.57667541504
16204.529576619467,16164.928482055664
21216.47752380371,21115.36771138509
14588.14897664388,14574.110865275064
18179.897379557293,18062.55634053548
18686.3911336263,949.6434885660807
22419.504353841145,22379.80596923828
15252.193725585938,657.6366068522135
15352.650029500326,699.4391021728516
17539.726114908855,17392.839797973633
23403.080337524414,1238.0069020589192
14226.596165974936,14182.420094807943
15335.613520304361,15054.206832885742
17561.41970316569,594.8592783610026
17539.321802775066,817.6441294352213
21005.38458251953,545.4005533854166
19599.17295328776,240.40748087565103
21730.311533610027,1154.5992279052734
18813.1908009847,19089.7501373291
12573.785807291666,324.34544372558594
17196.327138264973,17095.84374491374
14592.668568929037,324.37840270996094
20635.35075378418,1280.7076568603516
15408.930099487305,3640.9637502034507
17367.605341593426,17230.6358795166
20911.9028116862,20816.41620381673
17643.57714335124,18358.021759033203
13556.375788370768,13282.543294270834
19049.4920501709,18853.505661010742
17615.305918375652,516.6096445719401
16604.641632080078,16512.264338175457
17634.61474100749,484.1995442708333
16631.572057088215,663.9363555908203
17861.451939900715,976.7819010416666
16167.852523803711,1861.7237040201824
18540.88212076823,884.7906036376953
19285.89178466797,18984.828384399414
16395.839752197266,1811.4730631510417
17820.147501627605,17777.807306925457
18275.717020670574,1196.789342244466
17039.588216145832,1594.9769999186199
17132.6993560791,16918.558522542316
18184.969482421875,17875.505091349285
18848.02586364746,947.7818552652994
18920.34654744466,707.0614369710287
18338.416849772137,17985.777501424152
17673.59792582194,17629.410196940105
18619.296793619793,18550.03432718913
13843.694071451822,1427.997563680013
20206.661427815754,572.086435953776
18092.68487040202,924.6339009602865
17869.595672607422,17692.469141642254
14245.662465413412,2772.8673706054688
16216.832102457682,459.41855875651044
18402.225336710613,18155.80682373047
16792.01056925456,16720.801127115887
